no,date,red1,red2,red3,red4,red5,red6,blue1,dummy_red1,dummy_red2,dummy_red3,dummy_red4,dummy_red5,dummy_red6,dummy_blue1
04018,20040307,02,05,06,08,28,30,06,19,20,2,31,21,27,11
04019,20040311,05,10,11,23,24,32,04,16,28,8,18,31,24,10
04020,20040314,01,02,09,22,28,31,04,32,3,23,2,22,25,9
04021,20040318,05,09,11,17,26,27,10,3,30,31,14,1,9,12
04022,20040321,03,10,14,19,20,30,06,22,6,7,5,19,29,1
04023,20040325,01,08,14,17,19,30,03,22,23,1,25,12,8,9
04024,20040328,01,13,21,23,25,32,06,12,28,15,32,30,24,7
04025,20040401,07,08,10,24,29,33,04,14,16,3,15,9,27,14
04026,20040404,04,10,14,18,28,32,15,9,1,25,17,7,5,15
04027,20040408,01,05,09,10,18,32,11,11,3,23,30,17,12,12
04028,20040411,01,02,03,05,10,22,12,21,16,12,33,22,30,12
04029,20040415,09,13,20,22,24,32,05,3,11,28,5,20,1,2
04030,20040418,01,07,09,17,26,31,05,30,1,32,25,11,19,15
04031,20040422,03,06,19,20,21,24,11,26,20,8,13,11,30,7
04032,20040425,02,05,08,11,15,31,13,30,8,5,4,19,32,13
04033,20040429,01,04,08,09,19,20,01,7,6,9,18,21,31,12
04034,20040502,02,07,13,20,27,30,14,27,2,8,24,30,3,12
04035,20040506,02,08,26,27,30,32,16,22,32,21,10,9,5,10
04036,20040509,02,13,17,18,26,30,01,7,19,17,12,21,16,1
04037,20040513,03,04,11,17,20,26,05,21,3,32,5,2,18,9
04038,20040516,11,16,17,25,28,29,07,19,30,26,22,6,24,12
04039,20040520,10,16,18,25,26,29,03,30,12,29,14,15,23,8
04040,20040523,07,17,19,20,21,29,11,23,4,27,6,3,20,12
04041,20040527,08,10,17,22,25,29,14,33,22,16,6,3,10,4
04042,20040530,06,10,13,17,18,21,02,23,12,20,33,9,8,10
04043,20040603,04,09,10,21,22,24,10,14,29,25,12,31,4,14
04044,20040606,02,06,07,12,31,32,05,7,10,5,18,15,32,16
04045,20040610,01,12,18,26,27,28,13,23,4,25,19,20,31,1
04046,20040613,07,15,16,22,23,32,14,8,6,29,15,27,33,1
04047,20040617,01,07,08,11,27,31,06,13,11,9,28,24,19,7
04048,20040620,08,09,11,16,17,29,09,26,20,30,3,11,24,16
04049,20040624,11,12,14,16,25,29,09,5,20,2,29,17,23,15
04050,20040627,06,07,19,21,25,29,02,16,8,17,9,11,32,5
04051,20040701,02,03,09,10,15,29,11,10,4,8,14,13,25,15
04052,20040704,01,12,14,15,17,29,09,13,21,2,3,5,11,3
04053,20040708,02,03,04,09,24,25,02,28,26,4,14,12,8,12
04054,20040711,09,11,14,16,27,28,11,13,20,4,8,12,24,2
04055,20040715,06,08,19,25,29,32,07,2,5,27,15,26,24,16
04056,20040718,01,20,21,25,29,30,02,9,20,3,12,27,28,9
04057,20040722,05,21,23,25,28,32,04,27,15,23,21,6,7,3
04058,20040725,01,08,11,12,27,31,12,14,17,30,22,15,9,7
04059,20040729,04,07,11,19,23,26,10,32,19,16,21,2,23,7
04060,20040801,03,05,11,24,27,28,15,12,28,23,9,11,18,7
04061,20040805,13,16,19,20,23,33,09,11,4,6,19,20,5,10
04062,20040808,01,12,25,27,28,29,13,1,29,4,5,6,3,3
04063,20040812,07,10,13,16,27,28,07,33,3,22,18,2,25,10
04064,20040815,14,15,18,20,27,31,04,23,2,29,11,26,27,2
04065,20040819,13,14,27,29,32,33,08,9,32,22,2,33,1,14
04066,20040822,05,13,20,23,24,25,03,33,22,20,23,27,32,15
04067,20040824,01,06,07,13,16,32,04,2,20,31,4,33,12,9
04068,20040826,02,08,11,13,24,31,15,29,3,22,4,18,31,1
04069,20040829,02,11,15,20,22,29,05,32,24,10,1,17,31,11
04070,20040831,10,12,21,22,30,33,06,10,1,3,14,32,19,10
04071,20040902,03,08,16,17,21,29,06,20,10,1,11,26,33,2
04072,20040905,08,15,18,28,30,33,14,20,10,1,29,22,23,2
04073,20040907,02,07,13,16,23,28,16,3,4,26,27,19,30,7
04074,20040909,05,06,15,19,26,29,13,4,31,24,33,1,30,2
04075,20040912,07,18,21,26,27,28,07,31,29,4,15,8,16,12
04076,20040914,03,05,13,17,25,31,07,10,18,7,17,20,12,5
04077,20040916,08,09,10,14,16,26,07,32,30,24,31,4,6,3
04078,20040919,04,05,10,21,24,26,05,23,2,20,22,32,24,2
04079,20040921,07,13,14,17,19,30,03,22,9,11,31,20,5,8
04080,20040923,03,08,20,23,24,26,16,20,3,30,7,14,22,9
04081,20040926,03,05,21,24,27,32,06,31,12,13,10,7,30,16
04082,20040928,03,20,24,27,29,30,15,25,27,8,26,14,32,14
04083,20040930,14,16,27,28,30,33,06,28,27,1,13,21,20,4
04084,20041003,01,04,08,11,21,25,14,8,23,27,17,13,19,3
04085,20041005,03,08,11,29,30,32,01,3,1,4,26,31,13,12
04086,20041007,10,13,18,19,25,27,01,20,3,15,7,24,26,11
04087,20041010,01,03,07,08,25,26,14,6,15,10,26,20,8,15
04088,20041012,02,10,19,22,24,32,14,3,25,11,17,18,2,12
04089,20041014,14,17,20,25,28,30,14,14,5,31,18,16,10,13
04090,20041017,01,18,20,24,32,33,12,21,12,7,32,26,20,8
04091,20041019,09,13,14,21,30,33,01,15,31,27,2,21,26,1
04092,20041021,01,04,08,13,28,31,02,2,28,3,29,16,14,3
04093,20041024,11,14,20,27,32,33,05,32,17,16,8,33,4,5
04094,20041026,05,09,10,13,24,25,08,6,16,3,26,9,5,5
04095,20041028,19,22,27,28,30,32,01,13,28,12,29,24,11,3
04096,20041031,01,04,12,16,20,30,15,16,20,27,29,7,23,3
04097,20041102,10,19,20,26,29,31,14,10,18,27,1,2,7,5
04098,20041104,03,12,13,25,26,31,03,11,15,16,17,12,14,3
04099,20041107,05,10,21,22,26,33,02,24,23,7,3,28,20,5
04100,20041109,06,08,09,14,24,33,15,7,14,13,19,21,32,7
04101,20041111,02,09,14,19,25,26,15,1,28,24,12,10,22,10
04102,20041114,03,09,12,15,28,32,01,9,11,3,8,17,19,8
04103,20041116,02,03,05,09,16,21,02,25,1,28,31,24,13,12
04104,20041118,07,11,17,18,24,29,05,19,1,30,4,7,31,1
04105,20041121,07,09,10,21,23,30,12,6,12,17,22,8,15,1
04106,20041123,10,15,23,26,28,29,12,11,15,21,8,4,23,3
04107,20041125,01,08,12,13,18,20,07,21,12,18,10,33,8,1
04108,20041128,08,13,14,27,28,31,12,21,20,7,13,2,25,3
04109,20041130,06,08,10,17,30,31,14,3,7,31,10,8,4,8
04110,20041202,14,19,20,21,22,31,11,13,5,2,6,10,32,10
04111,20041205,11,16,18,20,26,31,02,30,32,21,8,25,2,12
04112,20041207,09,13,15,21,26,33,06,10,21,20,3,30,26,1
04113,20041210,08,10,23,25,31,32,07,21,15,6,29,31,8,3
04114,20041213,01,06,09,17,21,22,01,27,30,5,2,25,22,5
04115,20041214,02,16,20,30,31,33,01,17,33,14,9,27,8,10
04116,20041216,01,03,05,08,14,33,03,23,18,4,22,5,11,7
04117,20041219,01,03,07,14,24,25,07,13,4,28,32,22,17,12
04118,20041221,03,04,07,12,30,31,15,5,15,2,8,32,16,6
04119,20041223,06,09,18,20,25,33,06,26,12,5,2,31,22,5
04120,20041226,07,08,18,21,27,32,10,26,14,17,19,10,6,2
04121,20041228,07,13,16,18,30,32,10,3,7,5,23,22,21,3
04122,20041230,03,11,14,22,24,31,15,22,29,16,19,18,32,16
05001,20050102,01,07,08,23,27,28,14,23,30,5,9,11,21,7
05002,20050104,06,09,20,26,28,33,14,7,26,22,3,2,31,14
05003,20050106,09,12,15,19,22,31,16,31,28,12,3,16,4,6
05004,20050109,01,04,08,09,22,23,03,28,18,30,17,23,26,3
05005,20050111,05,09,20,26,28,33,15,10,33,28,18,2,22,8
05006,20050113,02,04,05,15,21,31,16,26,24,13,2,25,6,7
05007,20050116,07,15,17,20,23,33,15,13,30,5,20,8,12,4
05008,20050118,11,19,22,27,32,33,11,9,7,20,32,15,12,2
05009,20050120,02,17,22,27,29,31,14,4,2,31,5,19,13,14
05010,20050123,08,10,11,18,25,26,01,7,30,16,8,22,21,13
05011,20050125,09,11,13,15,22,30,15,1,12,23,13,15,8,5
05012,20050127,02,03,06,16,22,31,05,22,31,33,6,5,1,16
05013,20050130,07,08,16,19,20,24,06,32,6,20,15,30,33,6
05014,20050201,13,19,21,23,30,32,05,11,22,29,33,3,23,5
05015,20050203,04,08,09,16,17,29,15,18,17,7,3,32,31,8
05016,20050206,01,05,06,12,16,30,15,1,11,13,25,20,31,8
05017,20050216,02,06,10,25,27,31,03,26,11,4,18,24,7,12
05018,20050217,01,03,06,22,23,25,06,5,27,1,13,22,3,4
05019,20050220,06,11,12,13,19,22,08,15,9,20,2,3,16,14
05020,20050222,14,16,19,20,25,29,05,7,15,6,19,2,28,16
05021,20050224,02,06,24,26,30,31,16,9,6,18,29,25,23,6
05022,20050227,08,10,12,21,32,33,04,2,27,12,26,9,31,9
05023,20050301,10,15,19,20,21,25,12,7,11,5,29,9,19,10
05024,20050303,05,09,14,27,31,32,13,7,24,12,19,2,27,3
05025,20050306,01,07,10,11,13,32,07,11,29,20,15,32,10,3
05026,20050308,06,12,14,20,25,26,07,2,6,7,33,13,9,4
05027,20050310,01,03,04,06,21,32,15,24,27,1,32,11,31,14
05028,20050313,04,09,22,25,26,32,10,25,1,6,26,7,21,11
05029,20050315,02,14,21,22,27,30,14,12,18,27,24,22,16,1
05030,20050317,01,05,09,14,22,28,05,13,15,19,9,28,22,4
05031,20050320,04,10,16,20,23,32,07,21,10,17,8,3,11,6
05032,20050322,05,15,19,20,25,29,03,28,30,32,25,33,12,1
05033,20050324,07,08,12,14,19,20,07,16,10,19,28,20,12,5
05034,20050327,05,17,18,25,28,32,09,24,13,5,16,1,15,3
05035,20050329,12,16,21,28,29,30,14,20,23,14,8,16,19,2
05036,20050331,12,19,20,21,26,31,15,7,9,17,31,11,32,2
05037,20050403,07,12,14,22,24,32,16,1,28,10,22,23,8,16
05038,20050405,04,07,11,20,27,28,16,10,17,25,22,7,14,12
05039,20050407,02,16,18,19,21,29,09,8,13,11,18,20,22,10
05040,20050410,01,12,21,24,30,32,13,3,8,1,31,23,2,11
05041,20050412,02,11,16,23,24,29,03,8,27,10,26,2,32,13
05042,20050414,11,16,21,26,27,30,15,3,22,25,29,1,30,16
05043,20050417,04,05,06,07,08,32,05,11,17,8,16,26,31,1
05044,20050419,01,06,16,17,18,22,09,16,24,12,13,5,10,12
05045,20050421,01,07,10,15,18,20,10,17,1,27,28,2,33,1
05046,20050424,09,16,18,20,22,24,05,20,19,33,23,7,22,10
05047,20050426,02,03,05,07,08,27,15,17,12,31,20,6,21,7
05048,20050428,06,07,08,10,16,28,02,3,22,21,25,20,8,16
05049,20050501,02,03,08,10,25,27,12,26,3,13,27,14,11,15
05050,20050503,02,09,12,20,26,32,13,10,4,27,11,3,28,3
05051,20050505,03,06,14,19,20,21,02,8,33,18,4,10,30,7
05052,20050508,01,02,14,17,30,32,01,3,5,14,13,1,23,11
05053,20050510,04,07,10,14,27,29,09,13,18,15,32,8,11,2
05054,20050512,05,13,17,18,21,29,14,26,7,31,19,6,4,13
05055,20050515,05,20,22,30,32,33,09,25,16,27,24,8,12,8
05056,20050517,12,17,19,27,29,31,09,32,5,6,8,2,14,1
05057,20050519,05,06,10,15,30,31,13,5,15,29,9,30,4,16
05058,20050522,04,06,10,21,25,26,10,19,16,12,10,9,8,13
05059,20050524,07,11,14,18,24,29,07,28,10,24,15,25,14,3
05060,20050526,09,12,21,25,31,33,13,33,5,28,8,19,3,4
05061,20050529,05,09,14,21,23,24,01,14,8,13,9,11,24,1
05062,20050531,02,07,11,12,20,23,07,1,32,6,4,2,18,3
05063,20050602,02,11,13,18,22,30,04,18,27,11,29,17,8,13
05064,20050605,10,18,23,27,30,32,08,19,11,16,26,9,31,7
05065,20050607,12,16,17,21,22,23,16,8,15,14,16,28,2,7
05066,20050609,02,04,10,11,25,28,05,4,30,17,33,32,27,6
05067,20050612,03,12,16,20,21,26,16,29,14,32,24,22,25,14
05068,20050614,01,08,10,13,25,33,13,17,24,9,27,19,6,15
05069,20050616,07,09,21,24,31,33,12,33,13,2,1,28,17,9
05070,20050619,03,04,08,14,16,26,04,3,9,25,15,2,24,15
05071,20050621,04,08,12,14,16,22,10,3,2,28,25,12,27,10
05072,20050623,06,10,19,20,24,33,11,18,28,21,31,7,12,2
05073,20050626,01,06,08,09,18,20,01,18,1,33,11,26,27,11
05074,20050628,06,09,18,20,26,29,09,33,24,19,20,10,9,16
05075,20050630,11,13,14,16,18,31,14,32,21,10,23,6,20,16
05076,20050703,04,09,11,22,25,28,13,30,25,19,1,29,5,16
05077,20050705,08,17,22,24,32,33,16,7,25,13,29,32,1,1
05078,20050707,03,11,15,20,26,32,11,14,27,2,22,23,19,13
05079,20050710,03,09,20,24,25,28,05,18,19,5,30,23,4,13
05080,20050712,01,12,14,26,27,32,16,29,26,8,1,31,9,13
05081,20050714,02,04,10,12,26,30,03,6,27,28,14,16,13,10
05082,20050717,01,07,11,14,19,20,12,28,25,31,14,4,12,1
05083,20050719,03,05,09,14,16,30,13,4,33,12,26,9,6,15
05084,20050721,01,02,07,15,19,20,03,28,3,14,10,12,24,10
05085,20050724,08,09,13,14,20,22,12,22,20,7,32,10,5,16
05086,20050726,07,11,12,24,27,29,12,32,7,13,5,14,24,11
05087,20050728,08,09,15,16,23,26,08,9,33,6,24,2,7,7
05088,20050731,01,03,07,18,20,24,07,11,8,24,6,18,26,14
05089,20050802,05,19,20,23,26,31,12,30,1,6,11,8,26,6
05090,20050804,01,09,21,25,29,32,03,14,27,17,26,7,19,14
05091,20050807,01,11,12,15,26,27,13,17,28,26,22,10,19,3
05092,20050809,08,13,19,26,28,31,10,21,25,3,19,15,1,14
05093,20050811,04,06,17,23,25,29,14,30,32,13,27,12,16,1
05094,20050814,03,05,09,23,27,33,03,27,32,28,21,33,29,12
05095,20050816,09,12,18,21,28,29,05,15,17,7,16,10,26,10
05096,20050818,04,05,17,18,26,33,04,21,3,29,5,6,9,8
05097,20050821,05,10,23,27,28,30,15,28,21,8,14,31,2,1
05098,20050823,12,15,19,22,31,33,01,28,9,18,27,5,29,13
05099,20050825,10,13,16,22,24,31,09,18,29,13,7,21,4,10
05100,20050828,02,04,09,14,16,31,03,16,14,5,29,1,20,15
05101,20050830,09,16,19,21,22,24,12,19,22,32,2,1,17,2
05102,20050901,02,05,06,14,24,31,12,19,6,28,16,21,23,7
05103,20050904,04,07,16,18,23,30,07,30,24,26,1,33,15,5
05104,20050906,02,04,21,23,30,33,09,26,30,14,21,12,28,13
05105,20050908,04,15,23,30,32,33,03,18,20,17,8,22,25,11
05106,20050911,01,11,13,24,26,31,13,6,9,13,19,24,12,4
05107,20050913,09,10,20,24,25,26,11,6,22,24,2,11,8,9
05108,20050915,03,10,12,24,29,30,06,4,15,13,28,10,17,9
05109,20050918,03,05,13,15,17,31,04,14,32,10,19,11,6,3
05110,20050920,07,10,16,19,24,25,09,17,26,16,11,15,22,7
05111,20050922,03,07,15,16,19,29,09,17,8,32,13,20,1,11
05112,20050925,04,12,22,28,29,30,16,32,13,18,31,4,14,13
05113,20050927,15,18,20,22,26,27,03,20,9,17,27,13,28,8
05114,20050929,06,07,10,15,21,27,06,1,26,32,12,7,31,6
05115,20051002,03,12,18,23,30,33,02,30,25,22,4,19,3,2
05116,20051004,04,06,08,14,15,30,10,29,8,31,1,19,12,10
05117,20051006,06,17,22,27,28,32,03,26,3,4,30,12,14,2
05118,20051009,04,09,12,15,26,31,16,18,28,10,27,17,14,5
05119,20051011,01,07,11,18,20,22,02,26,15,7,8,33,14,13
05120,20051013,01,06,13,18,30,32,14,30,8,25,21,23,9,10
05121,20051016,01,07,20,25,31,32,12,11,1,31,33,24,8,8
05122,20051018,01,04,07,14,30,32,09,6,9,20,19,11,24,11
05123,20051020,11,12,13,17,18,25,07,33,27,16,26,25,32,11
05124,20051023,05,06,10,19,31,33,11,31,15,29,26,4,24,5
05125,20051025,06,14,18,28,31,32,03,33,29,19,30,25,2,9
05126,20051027,02,08,13,19,25,26,09,20,2,24,25,3,18,8
05127,20051030,04,06,11,14,23,25,12,25,6,28,23,4,13,1
05128,20051101,02,04,14,23,29,33,15,25,26,18,27,28,3,15
05129,20051103,05,10,14,20,27,33,03,23,19,11,17,22,14,11
05130,20051106,03,05,09,15,20,25,16,2,26,20,25,16,12,12
05131,20051108,02,07,10,11,12,24,03,25,27,20,13,23,24,16
05132,20051110,02,04,10,18,27,29,15,7,13,32,18,14,28,11
05133,20051113,01,07,14,16,18,25,11,2,27,23,14,22,32,1
05134,20051115,04,13,14,18,26,30,01,1,14,27,29,3,23,8
05135,20051117,01,05,13,15,21,25,11,28,23,10,2,15,21,16
05136,20051120,05,14,16,18,25,27,13,12,10,20,3,32,6,7
05137,20051122,03,09,15,23,25,33,12,24,15,18,5,4,32,3
05138,20051124,03,05,06,11,20,22,13,20,12,11,21,14,23,12
05139,20051127,02,07,20,23,32,33,10,26,32,7,9,23,27,8
05140,20051129,04,06,07,08,12,17,07,7,32,21,4,25,17,4
05141,20051201,03,05,08,12,16,19,15,26,9,14,8,27,23,8
05142,20051204,07,10,12,17,22,29,05,2,17,19,29,13,24,12
05143,20051206,03,10,15,17,20,32,08,20,10,7,16,15,27,15
05144,20051208,01,08,14,15,19,27,09,4,30,29,25,10,23,14
05145,20051211,03,07,08,17,20,28,15,33,21,6,23,3,1,14
05146,20051213,07,11,19,20,24,28,02,22,25,21,10,32,16,14
05147,20051215,06,07,15,27,28,30,10,14,29,20,31,24,13,12
05148,20051218,03,15,17,23,24,29,13,7,33,30,8,19,2,15
05149,20051220,11,16,21,23,25,32,07,4,21,13,3,14,31,2
05150,20051222,03,07,10,14,18,20,02,31,13,2,19,22,17,1
05151,20051225,04,11,12,13,19,30,05,3,4,33,14,16,25,13
05152,20051227,01,05,12,14,21,27,03,11,7,22,13,21,33,10
05153,20051229,04,05,07,21,26,29,01,6,18,11,2,7,13,13
06001,20060101,01,12,15,19,21,28,03,28,31,12,32,5,22,4
06002,20060103,07,13,16,21,26,28,09,13,29,2,12,4,14,12
06003,20060105,02,04,05,06,16,20,12,30,29,10,8,12,18,1
06004,20060108,04,08,17,27,28,31,07,21,19,5,29,17,12,9
06005,20060110,03,19,20,24,26,27,11,1,18,24,11,29,30,13
06006,20060112,08,21,22,23,26,32,14,23,31,33,3,29,25,9
06007,20060115,04,16,18,27,32,33,07,7,13,1,15,21,26,15
06008,20060117,03,05,09,18,28,32,16,31,14,16,8,19,22,7
06009,20060119,05,06,08,20,26,30,06,14,29,1,24,21,6,1
06010,20060122,04,06,12,19,27,29,08,20,25,26,4,23,9,8
06011,20060124,05,07,08,14,27,31,11,6,12,17,1,33,9,16
06012,20060126,09,11,13,27,31,33,10,21,16,17,31,9,3,3
06013,20060205,01,05,06,12,16,21,11,30,22,9,17,32,5,5
06014,20060207,06,14,26,29,32,33,07,28,27,16,25,23,4,6
06015,20060209,02,03,09,15,29,32,03,24,28,30,33,32,20,1
06016,20060212,01,07,13,17,23,30,16,29,6,10,32,13,14,10
06017,20060214,03,04,08,31,32,33,02,18,4,12,2,13,3,9
06018,20060216,01,13,14,17,24,26,05,9,17,27,13,18,22,16
06019,20060219,04,06,13,22,26,32,07,15,11,33,17,16,27,4
06020,20060221,05,09,21,23,26,29,06,18,17,15,9,31,32,10
06021,20060223,01,02,05,20,21,22,09,4,11,33,30,5,21,9
06022,20060226,02,03,04,13,16,27,13,26,30,20,33,17,25,16
06023,20060228,04,13,14,19,23,28,08,26,28,18,33,20,7,8
06024,20060302,02,07,09,11,21,27,06,21,9,5,30,13,31,11
06025,20060305,03,04,17,19,24,32,05,27,5,29,31,1,20,4
06026,20060307,01,02,18,22,29,32,03,33,32,19,1,11,21,4
06027,20060309,06,08,11,14,16,27,15,12,4,32,7,13,15,14
06028,20060312,05,07,14,16,17,27,04,9,3,23,16,6,15,13
06029,20060314,03,04,07,09,14,19,08,4,30,19,29,11,25,10
06030,20060316,08,13,15,17,20,32,14,16,24,17,33,8,14,15
06031,20060319,03,10,12,16,31,32,14,1,22,25,13,19,2,14
